Feature,Manual_RF,BayesOpt_RF,Stacked_RF,Stacked_XGB
num__Ram,0.4656135896678313,0.5206419912733008,0.4656135896678313,0.16758776
num__Weight,0.0824144870189909,0.08540171012227266,0.0824144870189909,0.010824024
num__SSD,0.10609441727458577,0.07723746616959301,0.10609441727458577,0.027408035
cat__TypeName_Notebook,0.05382394997683242,0.059648847463589456,0.05382394997683242,0.08307722
cat__CPU_name_Other Intel Processor,0.05564595061600209,0.05327600306325531,0.05564595061600209,0.14300136
num__PPI,0.04986352927209322,0.04607505016695893,0.04986352927209322,0.017358799
cat__CPU_name_Intel Core i5,0.037389594232164265,0.03194024199004294,0.037389594232164265,0.08014118
cat__CPU_name_Intel Core i7,0.04121016714869232,0.020935354005461426,0.04121016714869232,0.16884051
cat__TypeName_Workstation,0.01023354019877779,0.013132503887960667,0.01023354019877779,0.046060804
cat__OpSys_Other,0.007044145281085209,0.008402651449086801,0.007044145281085209,0.020336198
num__HDD,0.007672584481531326,0.007064854742542002,0.007672584481531326,0.0067412225
cat__Company_HP,0.006711133684388779,0.006309413160624068,0.006711133684388779,0.007565763
cat__OpSys_Windows,0.006476493977250175,0.006020867083567396,0.006476493977250175,0.0068082814
num__IPS,0.005483965463962582,0.005890067355657608,0.005483965463962582,0.00702855
cat__Company_Lenovo,0.005164767788211798,0.005425079830386044,0.005164767788211798,0.005590642
cat__Company_Asus,0.004549160037027862,0.005368917515198632,0.004549160037027862,0.008097253
num__TouchScreen,0.0062662214856259,0.004956831119466898,0.0062662214856259,0.0062031033
cat__CPU_name_Intel Core i3,0.007035682221217389,0.0047092545961161456,0.007035682221217389,0.018087223
cat__Company_Dell,0.004511174215482109,0.004084634851840871,0.004511174215482109,0.005950428
cat__Gpu brand_AMD,0.004516139409053286,0.004046434837217869,0.004516139409053286,0.011108109
cat__Company_Acer,0.0037461397986522575,0.003957575053013932,0.0037461397986522575,0.013248483
cat__Gpu brand_Nvidia,0.003522460440414314,0.0035360526360082027,0.003522460440414314,0.009834983
cat__Gpu brand_Intel,0.004011111252643117,0.00343309257591781,0.004011111252643117,0.009403673
cat__TypeName_Ultrabook,0.003493373998529035,0.003356926938369389,0.003493373998529035,0.010226734
cat__CPU_name_AMD Processor,0.005029287909551983,0.0032144919341877878,0.005029287909551983,0.013305668
cat__TypeName_2 in 1 Convertible,0.0026917655387183187,0.0023250868451589047,0.0026917655387183187,0.006003954
cat__Company_Razer,0.0020358949268399467,0.0019729479995325983,0.0020358949268399467,0.009764399
cat__Company_Toshiba,0.0015254214374960534,0.001666216657994443,0.0015254214374960534,0.0063341814
cat__TypeName_Gaming,0.0019977744096648328,0.0014142097978636658,0.0019977744096648328,0.019139845
cat__TypeName_Netbook,0.0011715521583694226,0.0010583521084580566,0.0011715521583694226,0.0037407116
cat__Company_Vero,0.0005726065779538158,0.0009589488583117749,0.0005726065779538158,0.00851066
cat__Company_MSI,0.0008727804908435073,0.0007586747865075731,0.0008727804908435073,0.0022781147
cat__Company_Apple,0.0002415734775511901,0.00047411781021104433,0.0002415734775511901,0.012586029
cat__Company_Chuwi,0.00016606947595017743,0.0002153734427601109,0.00016606947595017743,0.0027027156
cat__OpSys_Mac,0.00047452430185519035,0.00019341388667025534,0.00047452430185519035,0.0074256933
cat__Company_Mediacom,7.875468446585286e-05,0.0001737479469076339,7.875468446585286e-05,0.0031078558
cat__Company_LG,0.00011091641782050306,0.00017145561935250918,0.00011091641782050306,0.0009329767
cat__Company_Xiaomi,0.000158603401474838,0.0001530826779690361,0.000158603401474838,0.0045367354
cat__Company_Microsoft,8.627897329119829e-05,0.00012191850242461612,8.627897329119829e-05,0.00085454667
cat__Company_Samsung,0.0001440416107035746,0.00010486218954410507,0.0001440416107035746,0.0014843009
cat__Company_Fujitsu,7.981028819303025e-05,8.296651413524203e-05,7.981028819303025e-05,0.0019414319
cat__Company_Google,2.531372415518167e-05,4.908806523653794e-05,2.531372415518167e-05,0.0021331864
cat__Company_Huawei,4.325125405642535e-05,3.922246932522665e-05,4.325125405642535e-05,0.0026866882
